2025-10-30 16:38:03 | DEBUG    | root | Configured logging; writing mirrored output to C:\Users\mccat\Desktop\Fast-Marching-Tree\output\logs\run_20251030_163803_109017.log
2025-10-30 16:38:03 | INFO     | __main__ | Log file initialised at C:\Users\mccat\Desktop\Fast-Marching-Tree\output\logs\run_20251030_163803_109017.log
2025-10-30 16:38:03 | DEBUG    | PIL.PngImagePlugin | STREAM b'IHDR' 16 13
2025-10-30 16:38:03 | DEBUG    | PIL.PngImagePlugin | STREAM b'IDAT' 41 80
2025-10-30 16:38:03 | INFO     | src.mapping.builder | Built occupancy grid: origin=(0.0, 0.0) size=(400,200) resolution=0.200 inflation=0.60
2025-10-30 16:38:03 | INFO     | src.mapping.builder | Exported occupancy PNG to artifacts\maps\aggressive.png
2025-10-30 16:38:03 | INFO     | src.planning.fmt_planner | Starting FMT planning with 600 samples, radius 7.00, goal bias 0.25
2025-10-30 16:38:03 | DEBUG    | src.planning.fmt_planner | Sampled 600 collision-free states
2025-10-30 16:38:07 | DEBUG    | src.planning.fmt_planner | Constructed neighbour sets for 600 samples
2025-10-30 16:38:07 | DEBUG    | src.planning.fmt_planner | Frontier size 22 after expansion; goal in frontier=False
2025-10-30 16:38:07 | DEBUG    | src.planning.fmt_planner | Frontier size 27 after expansion; goal in frontier=False
2025-10-30 16:38:07 | DEBUG    | src.planning.fmt_planner | Frontier size 20 after expansion; goal in frontier=False
2025-10-30 16:38:07 | DEBUG    | src.planning.fmt_planner | Frontier size 15 after expansion; goal in frontier=False
2025-10-30 16:38:07 | DEBUG    | src.planning.fmt_planner | Frontier size 22 after expansion; goal in frontier=False
2025-10-30 16:38:07 | DEBUG    | src.planning.fmt_planner | Frontier size 13 after expansion; goal in frontier=False
2025-10-30 16:38:07 | DEBUG    | src.planning.fmt_planner | Frontier size 25 after expansion; goal in frontier=False
2025-10-30 16:38:07 | DEBUG    | src.planning.fmt_planner | Frontier size 22 after expansion; goal in frontier=False
2025-10-30 16:38:07 | DEBUG    | src.planning.fmt_planner | Frontier size 21 after expansion; goal in frontier=False
2025-10-30 16:38:07 | DEBUG    | src.planning.fmt_planner | Frontier size 10 after expansion; goal in frontier=False
2025-10-30 16:38:07 | DEBUG    | src.planning.fmt_planner | Frontier size 25 after expansion; goal in frontier=False
2025-10-30 16:38:07 | DEBUG    | src.planning.fmt_planner | Frontier size 30 after expansion; goal in frontier=False
2025-10-30 16:38:07 | DEBUG    | src.planning.fmt_planner | Frontier size 240 after expansion; goal in frontier=True
2025-10-30 16:38:07 | INFO     | src.planning.fmt_planner | FMT search connected goal with cost 79.37
2025-10-30 16:38:07 | INFO     | src.planning.fmt_planner | FMT plan complete: 3 raw waypoints, cost 79.37
2025-10-30 16:38:07 | INFO     | __main__ | Planned end-to-end scenario; path length 200 waypoints
2025-10-30 16:38:07 | INFO     | src.sim.simulator | Simulator started: dt=0.080, duration=10.00, steps=125, target_length=78.49
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 0.00/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.347 accel=5.000 progress=0.00
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 0.03/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.343 accel=5.000 progress=0.03
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 0.10/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.335 accel=5.000 progress=0.10
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 0.19/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.323 accel=5.000 progress=0.19
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 0.32/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.307 accel=5.000 progress=0.32
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 0.48/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.288 accel=5.000 progress=0.48
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 0.67/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.267 accel=5.000 progress=0.67
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 0.90/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.245 accel=5.000 progress=0.90
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 1.15/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.221 accel=5.000 progress=1.15
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 1.44/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.197 accel=5.000 progress=1.44
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 1.76/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.174 accel=5.000 progress=1.76
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 2.11/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.151 accel=5.000 progress=2.11
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 2.50/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.129 accel=5.000 progress=2.50
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 2.91/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.109 accel=5.000 progress=2.91
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 3.36/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.091 accel=5.000 progress=3.36
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 3.84/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.075 accel=5.000 progress=3.84
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 4.35/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.061 accel=5.000 progress=4.35
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 4.90/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.048 accel=5.000 progress=4.90
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 5.47/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.038 accel=5.000 progress=5.47
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 6.08/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.029 accel=5.000 progress=6.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 6.72/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.022 accel=5.000 progress=6.72
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 7.39/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.017 accel=5.000 progress=7.39
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 8.10/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.012 accel=5.000 progress=8.10
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 8.83/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.009 accel=5.000 progress=8.83
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 9.60/78.49, horizon 4, dt 0.08
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:07 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.006 accel=5.000 progress=9.60
2025-10-30 16:38:07 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 10.40/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.005 accel=5.000 progress=10.40
